MFWBFR1,CA_000864_56337_00
MSADVE2,CA_000544_2975_00
MCMCAN1,CA_000532_1737_00
METPIG1,CA_000877_59314_00
SCWATE2S1E21,CA_000541_43024_00
SCWATE2S1E22,CA_000541_43025_00
SCWATE2S1E23,CA_000541_43026_00
SCWATE2S1E24,CA_000541_43027_00
SCWATE2S1E25,CA_000541_43028_00
SCWATE2S1E26,CA_000541_43029_00
SCWATE2S1E27,CA_000541_43030_00
SCWATE2S1E28,CA_000541_43031_00
SCWATE2S1E29,CA_000541_43032_00
SCWATE2S1E30,CA_000541_43033_00
SCWATE2S1E31,CA_000541_43034_00
SCWATE2S1E32,CA_000541_43035_00
SCWATE2S1E33,CA_000541_43036_00
SCWATE2S1E34,CA_000541_43037_00
SCWATE2S1E35,CA_000541_43039_00
SCWATE2S1E36,CA_000541_43038_00
SCWATE2S1E37,CA_000541_43040_00
SCWATE2S1E38,CA_000541_43041_00
SCWATE2S1E39,CA_000541_43042_00
SCWATE2S1E40,CA_000541_43043_00
SCWATE2S1E1,CA_000541_43004_00
SCWATE2S1E2,CA_000541_43005_00
SCWATE2S1E3,CA_000541_43006_00
SCWATE2S1E4,CA_000541_43007_00
SCWATE2S1E5,CA_000541_43008_00
SCWATE2S1E6,CA_000541_43009_00
SCWATE2S1E7,CA_000541_43010_00
SCWATE2S1E8,CA_000541_43011_00
SCWATE2S1E9,CA_000541_43012_00
SCWATE2S1E10,CA_000541_43013_00
SCWATE2S1E11,CA_000541_43014_00
SCWATE2S1E12,CA_000541_43015_00
SCWATE2S1E13,CA_000541_43016_00
SCWATE2S1E14,CA_000541_43017_00
SCWATE2S1E15,CA_000541_43018_00
SCWATE2S1E16,CA_000541_43019_00
SCWATE2S1E17,CA_000541_43020_00
SCWATE2S1E18,CA_000541_43021_00
SCWATE2S1E19,CA_000541_43022_00
SCWATE2S1E20,CA_000541_43023_00
SCPLID1S3E1,CA_999387_30935_00
SCPLID1S3E2,CA_999387_30953_00
SCPLID1S3E3,CA_999387_30950_00
SCPLID1S3E4,CA_999387_30954_00
SCPLID1S3E5,CA_999387_30956_00
SCPLID1S3E6,CA_999387_30948_00
SCPLID1S3E7,CA_999387_30941_00
SCPLID1S3E8,CA_999387_30938_00
SCPLID1S3E9,CA_999387_30971_00
SCPLID1S3E10,CA_999387_30972_00
SCPLID1S3E11,CA_999387_30965_00
SCPLID1S3E12,CA_999387_30936_00
SCPLID1S3E13,CA_999387_30957_00
SCPLID1S3E14,CA_999387_30944_00
SCPLID1S3E15,CA_999387_30959_00
SCPLID1S3E16,CA_999387_30964_00
SCPLID1S3E17,CA_999387_30973_00
SCPLID1S3E18,CA_999387_30945_00
SCPLID1S3E19,CA_999387_30937_00
SCPLID1S3E20,CA_999387_30966_00
SCPLID1S3E21,CA_999387_30934_00
SCPLID1S3E22,CA_999387_30940_00
SCPLID1S3E23,CA_999387_30949_00
SCPLID1S3E24,CA_999387_30946_00
SCPLID1S3E25,CA_999387_30963_00
SCPLID1S3E26,CA_999387_30955_00
SCPLID1S3E27,CA_999387_30943_00
SCPLID1S3E28,CA_999387_30967_00
SCPLID1S3E29,CA_999387_30958_00
SCPLID1S3E30,CA_999387_30969_00
SCPLID1S3E31,CA_999387_30951_00
SCPLID1S3E32,CA_999387_30952_00
SCPLID1S3E33,CA_999387_30960_00
SCPLID1S3E34,CA_999387_30942_00
SCPLID1S3E35,CA_999387_30968_00
SCPLID1S3E36,CA_999387_30947_00
SCPLID1S3E37,CA_999387_30961_00
SCPLID1S3E38,CA_999387_30970_00
SCPLID1S3E39,CA_999387_30962_00
SCPLID1S3E40,CA_999387_30939_00
SMPPAL1S2E1,CA_000494_38081_00
SMPPAL1S2E2,CA_000494_37984_00
SMPPAL1S2E8,CA_000494_37945_00
SMPPAL1S2E9,CA_000494_38046_00
SMPPAL1S2E10,CA_000494_38073_00
SMPPAL1S2E11,CA_000494_37946_00
SMPPAL1S2E12,CA_000494_38047_00
SMPPAL1S3E1,CA_000494_37976_00
SMPPAL1S3E2,CA_000494_37947_00
SMPPAL1S3E3,CA_000494_37986_00
SMPPAL1S3E4,CA_000494_37977_00
SBBTAD1S1E1,CA_000875_57365_10
SBBTAD1S1E2,CA_000875_57372_10
SBBTAD1S1E3,CA_000875_57366_10
SBBTAD1S1E4,CA_000875_57357_10
SBBTAD1S1E5,CA_000875_57371_10
SBBTAD1S1E6,CA_000875_57351_10
SBBTAD1S1E7,CA_000875_57370_10
SBBTAD1S1E8,CA_000875_57358_10
SBBTAD1S1E9,CA_000875_57353_10
SBBTAD1S1E10,CA_000875_57369_10
SBBTAD1S1E11,CA_000875_57354_10
SBBTAD1S1E12,CA_000875_57352_10
SBBTAD1S1E13,CA_000875_57356_10
SBBTAD1S1E14,CA_000875_57355_10
SBBTAD1S1E15,CA_000875_57368_10
SBBTAD1S1E16,CA_000875_57363_10
SBBTAD1S1E17,CA_000875_57349_10
SBBTAD1S1E18,CA_000875_57367_10
SBBTAD1S1E19,CA_000875_57348_10
SBBTAD1S1E20,CA_000875_57350_10
SBBTAD1S1E21,CA_000875_57359_10
SBBTAD1S1E22,CA_000875_57347_10
SBBTAD1S1E23,CA_000875_57361_10
SBBTAD1S1E24,CA_000875_57360_10
SBBTAD1S1E25,CA_000875_57362_10
SBBTAD1S1E26,CA_000875_57364_10
SSERIC1S1E1,CA_000093_42517_00
SSERIC1S1E2,CA_000093_42518_00
SSERIC1S1E3,CA_000093_42519_00
SSERIC1S1E4,CA_000093_42520_00
SSERIC1S1E5,CA_000093_42521_00
SSERIC1S1E6,CA_000093_42522_00
SSERIC1S1E7,CA_000093_42523_00
